ts_rgb0 (s),path_rgb0
0.00000,rgb_0/0000000000.jpg
0.03333,rgb_0/0000000001.jpg
0.06667,rgb_0/0000000002.jpg
0.10000,rgb_0/0000000003.jpg
0.13333,rgb_0/0000000004.jpg
0.16667,rgb_0/0000000005.jpg
0.20000,rgb_0/0000000006.jpg
0.23333,rgb_0/0000000007.jpg
0.26667,rgb_0/0000000008.jpg
0.30000,rgb_0/0000000009.jpg
0.33333,rgb_0/0000000010.jpg
0.36667,rgb_0/0000000011.jpg
0.40000,rgb_0/0000000012.jpg
0.43333,rgb_0/0000000013.jpg
0.46667,rgb_0/0000000014.jpg
0.50000,rgb_0/0000000015.jpg
0.53333,rgb_0/0000000016.jpg
0.56667,rgb_0/0000000017.jpg
0.60000,rgb_0/0000000018.jpg
0.63333,rgb_0/0000000019.jpg
0.66667,rgb_0/0000000020.jpg
0.70000,rgb_0/0000000021.jpg
0.73333,rgb_0/0000000022.jpg
0.76667,rgb_0/0000000023.jpg
0.80000,rgb_0/0000000024.jpg
0.83333,rgb_0/0000000025.jpg
0.86667,rgb_0/0000000026.jpg
0.90000,rgb_0/0000000027.jpg
0.93333,rgb_0/0000000028.jpg
0.96667,rgb_0/0000000029.jpg
1.00000,rgb_0/0000000030.jpg
1.03333,rgb_0/0000000031.jpg
1.06667,rgb_0/0000000032.jpg
1.10000,rgb_0/0000000033.jpg
1.13333,rgb_0/0000000034.jpg
1.16667,rgb_0/0000000035.jpg
1.20000,rgb_0/0000000036.jpg
1.23333,rgb_0/0000000037.jpg
1.26667,rgb_0/0000000038.jpg
1.30000,rgb_0/0000000039.jpg
1.33333,rgb_0/0000000040.jpg
1.36667,rgb_0/0000000041.jpg
1.40000,rgb_0/0000000042.jpg
1.43333,rgb_0/0000000043.jpg
1.46667,rgb_0/0000000044.jpg
1.50000,rgb_0/0000000045.jpg
1.53333,rgb_0/0000000046.jpg
1.56667,rgb_0/0000000047.jpg
1.60000,rgb_0/0000000048.jpg
1.63333,rgb_0/0000000049.jpg
1.66667,rgb_0/0000000050.jpg
1.70000,rgb_0/0000000051.jpg
1.73333,rgb_0/0000000052.jpg
1.76667,rgb_0/0000000053.jpg
1.80000,rgb_0/0000000054.jpg
1.83333,rgb_0/0000000055.jpg
1.86667,rgb_0/0000000056.jpg
1.90000,rgb_0/0000000057.jpg
1.93333,rgb_0/0000000058.jpg
1.96667,rgb_0/0000000059.jpg
2.00000,rgb_0/0000000060.jpg
2.03333,rgb_0/0000000061.jpg
2.06667,rgb_0/0000000062.jpg
2.10000,rgb_0/0000000063.jpg
2.13333,rgb_0/0000000064.jpg
2.16667,rgb_0/0000000065.jpg
2.20000,rgb_0/0000000066.jpg
2.23333,rgb_0/0000000067.jpg
2.26667,rgb_0/0000000068.jpg
2.30000,rgb_0/0000000069.jpg
2.33333,rgb_0/0000000070.jpg
2.36667,rgb_0/0000000071.jpg
2.40000,rgb_0/0000000072.jpg
2.43333,rgb_0/0000000073.jpg
2.46667,rgb_0/0000000074.jpg
2.50000,rgb_0/0000000075.jpg
2.53333,rgb_0/0000000076.jpg
2.56667,rgb_0/0000000077.jpg
2.60000,rgb_0/0000000078.jpg
2.63333,rgb_0/0000000079.jpg
2.66667,rgb_0/0000000080.jpg
2.70000,rgb_0/0000000081.jpg
2.73333,rgb_0/0000000082.jpg
2.76667,rgb_0/0000000083.jpg
